2023-03-02 17:40:23.195[1677768023195] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://testnet.binance.vision/api/v3/ticker/24hr?type=FULL
2023-03-02 17:40:25.410[1677768025410] | INFO  | main       | b.t.logic.market.BinanceConnector    - Got most active token: TRXUSDT, Percent price change: -1.23
2023-03-02 17:40:25.414[1677768025414] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://testnet.binance.vision/api/v3/account?recvWindow=60000&timestamp=1677768025412&signature=6f9f713879d6d36c1d1d6b3c61d49e42edb96eb73bdc7422b4faaabd3c4a8fe0
2023-03-02 17:40:25.826[1677768025826] | INFO  | main       | b.t.logic.market.BinanceConnector    - Got balance: 0.0
2023-03-02 17:40:25.826[1677768025826] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://testnet.binance.vision/api/v3/klines?symbol=TRXUSDT&interval=1m&limit=6
2023-03-02 17:41:01.170[1677768061170] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://testnet.binance.vision/api/v3/klines?symbol=TRXUSDT&interval=1m&limit=6
2023-03-02 17:43:09.813[1677768189813] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://testnet.binance.vision/api/v3/ticker/24hr?type=FULL
2023-03-02 17:43:11.360[1677768191360] | INFO  | main       | b.t.logic.market.BinanceConnector    - Got most active token: TRXUSDT, Percent price change: -1.357
2023-03-02 17:43:11.364[1677768191364] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://testnet.binance.vision/api/v3/account?recvWindow=60000&timestamp=1677768191362&signature=6be9f27f1a50fbcf257afbbabc2d7df1cd0eefda0cb001f5209e2d1af169d981
2023-03-02 17:43:11.704[1677768191704] | INFO  | main       | b.t.logic.market.BinanceConnector    - All balances:                                
 asset  |   free   |  locked  |
-------------------------------
   BNB  |    1000  |       0  |
   BTC  |       1  |       0  |
  BUSD  |   10000  |       0  |
   ETH  |     100  |       0  |
   LTC  |     500  |       0  |
   TRX  |  500000  |       0  |
  USDT  |   10000  |       0  |
   XRP  |   50000  |       0  |
2023-03-02 17:43:11.707[1677768191707] | INFO  | main       | b.t.logic.market.BinanceConnector    - Got balance: 0.0
2023-03-02 17:43:11.708[1677768191708] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://testnet.binance.vision/api/v3/klines?symbol=TRXUSDT&interval=1m&limit=6
2023-03-02 17:43:47.091[1677768227091] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://testnet.binance.vision/api/v3/klines?symbol=TRXUSDT&interval=1m&limit=6
2023-03-02 17:45:34.741[1677768334741] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://testnet.binance.vision/api/v3/ticker/24hr?type=FULL
2023-03-02 17:45:37.697[1677768337697] | INFO  | main       | b.t.logic.market.BinanceConnector    - Got most active token: TRXUSDT, Percent price change: -1.343
2023-03-02 17:45:37.701[1677768337701] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://testnet.binance.vision/api/v3/account?recvWindow=60000&timestamp=1677768337699&signature=cea3feb3227c800c4a2c404255306a99969d734505cb78d71c14c5c2641f4b0c
2023-03-02 17:46:22.630[1677768382630] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://testnet.binance.vision/api/v3/ticker/24hr?type=FULL
2023-03-02 17:46:24.632[1677768384632] | INFO  | main       | b.t.logic.market.BinanceConnector    - Got most active token: TRXUSDT, Percent price change: -1.343
2023-03-02 17:46:24.635[1677768384635] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://testnet.binance.vision/api/v3/account?recvWindow=60000&timestamp=1677768384634&signature=8322e4665aa16b83237c104c43fc23872e6256447f3810afe6590802903bde37
2023-03-02 17:46:25.446[1677768385446] | INFO  | main       | b.t.logic.market.BinanceConnector    - All balances:                                
 asset  |   free   |  locked  |
-------------------------------
   BNB  |    1000  |       0  |
   BTC  |       1  |       0  |
  BUSD  |   10000  |       0  |
   ETH  |     100  |       0  |
   LTC  |     500  |       0  |
   TRX  |  500000  |       0  |
  USDT  |   10000  |       0  |
   XRP  |   50000  |       0  |
2023-03-02 17:46:25.449[1677768385449] | INFO  | main       | b.t.logic.market.BinanceConnector    - Got balance: 10000.0
2023-03-02 17:46:25.450[1677768385450] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://testnet.binance.vision/api/v3/klines?symbol=TRXUSDT&interval=1m&limit=6
2023-03-02 17:47:00.865[1677768420865] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://testnet.binance.vision/api/v3/klines?symbol=TRXUSDT&interval=1m&limit=6
2023-03-02 18:26:16.979[1677770776979] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://testnet.binance.vision/api/v3/ticker/24hr?type=FULL
2023-03-02 18:26:18.596[1677770778596] | INFO  | main       | b.t.logic.market.BinanceConnector    - Got most active token: TRXUSDT, Percent price change: -0.974
2023-03-02 18:26:18.601[1677770778601] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://testnet.binance.vision/api/v3/account?recvWindow=60000&timestamp=1677770778599&signature=b1019ccecd97fa41a9f8addfdbd21d02c30122879494430c8a2022fbaf70abb4
2023-03-02 18:26:18.931[1677770778931] | INFO  | main       | b.t.logic.market.BinanceConnector    - Got balance: 10000.0
2023-03-02 18:26:18.932[1677770778932] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://testnet.binance.vision/api/v3/klines?symbol=TRXUSDT&interval=1m&limit=6
